AccountID,CustomerID,AccountType,CurrentBalance,OverdraftLimit,AccountStatus
500001,100001,Savings,11290.85,0,Open
500002,100002,Current,20926.58,500,Open
500003,100003,Current,28104.47,0,Open
500004,100004,Current,28395.43,0,Open
500005,100005,Current,41150.24,0,Open
500006,100006,Current,19032.29,500,Open
500007,100007,Savings,34990.62,0,Open
500008,100008,ISA,44236.99,0,Open
500009,100009,Savings,6539.28,0,Open
500010,100009,Savings,14737.19,0,Open
500011,100009,Current,11732.95,1500,Open
500012,100010,Current,10444.13,0,Open
500013,100010,Current,12288.08,1000,Open
500014,100011,ISA,62581.71,0,Open
500015,100011,Savings,18305.38,0,Open
500016,100012,Savings,19667.5,0,Open
500017,100013,Current,29756.4,0,Open
500018,100014,Current,17950.29,0,Open
500019,100014,Current,60472.47,1000,Open
500020,100015,Savings,23444.8,0,Open
500021,100015,ISA,12323.17,0,Open
500022,100016,Current,14703.7,1000,Open
500023,100017,Current,14399.6,0,Open
500024,100017,Savings,9605.9,0,Open
500025,100018,Current,29493.44,0,Open
500026,100019,Savings,31295.4,0,Open
500027,100020,Savings,11812.32,0,Open
500028,100021,Current,3079.94,0,Open
500029,100022,Current,23231.87,0,Open
500030,100023,Current,10958.97,1000,Open
500031,100023,Savings,83434.72,0,Open
500032,100024,Savings,11625.73,0,Open
500033,100024,Current,68052.99,1500,Open
500034,100025,Current,7158.53,1500,Open
500035,100025,Savings,70716.08,0,Open
500036,100026,Current,37629.09,0,Open
500037,100027,Current,15557.22,1500,Open
500038,100027,Savings,22537.54,0,Open
500039,100028,Savings,8028.78,0,Open
500040,100029,Current,19657.23,1000,Dormant
500041,100029,Savings,34746.35,0,Open
500042,100030,Savings,79576.97,0,Open
500043,100031,Current,33313.31,0,Open
500044,100031,Current,29580.01,1500,Open
500045,100032,Savings,9840.43,0,Open
500046,100032,ISA,40301.82,0,Open
500047,100032,Current,5339.23,0,Open
500048,100033,Current,30190.64,1000,Open
500049,100034,Savings,57432.69,0,Open
500050,100034,Current,83801.57,1500,Open
500051,100035,Savings,4532.64,0,Open
500052,100035,Current,12260.68,500,Open
500053,100036,Current,5009.84,2000,Open
500054,100037,Current,32955.11,0,Open
500055,100038,Current,14800.64,0,Open
500056,100038,Savings,11046.48,0,Open
500057,100038,Current,14502.64,500,Open
500058,100039,Current,14940.72,1000,Open
500059,100039,Current,6394.32,1500,Open
500060,100040,Current,14739.89,500,Open
500061,100041,Savings,47165.18,0,Dormant
500062,100041,Current,9152.59,1000,Open
500063,100042,Savings,57441.41,0,Open
500064,100043,Current,12634.18,0,Open
500065,100044,Current,61248.55,2000,Open
500066,100044,Current,96092.73,1000,Open
500067,100045,Savings,13903.25,0,Open
500068,100046,Savings,8248.19,0,Open
500069,100046,Current,20258.67,1500,Open
500070,100047,Current,16832.28,2000,Open
500071,100048,Current,34521.66,1500,Dormant
500072,100049,Current,6112.4,0,Open
500073,100049,Savings,19062.47,0,Open
500074,100050,Current,7831.24,2000,Open
500075,100050,Savings,4319.17,0,Open
500076,100051,Savings,66817.15,0,Open
500077,100052,Current,28928.53,0,Open
500078,100053,Current,28901.43,1000,Open
500079,100054,Current,30535.86,1500,Open
500080,100054,Savings,77596.62,0,Open
500081,100055,Current,4418.88,1500,Open
500082,100055,Savings,124211.45,0,Open
500083,100056,Savings,78816.5,0,Open
500084,100056,Savings,10750.02,0,Open
500085,100057,Current,10643.34,0,Open
500086,100057,Current,6118.09,0,Open
500087,100058,ISA,13022.97,0,Open
500088,100058,Current,11132.58,2000,Open
500089,100058,Current,642.49,500,Open
500090,100059,ISA,19210.18,0,Open
500091,100060,Savings,33464.26,0,Open
500092,100061,Current,12039.59,1000,Open
500093,100061,ISA,73369.62,0,Open
500094,100062,Current,39858.29,1500,Open
500095,100062,Current,51374.61,0,Open
500096,100063,Savings,72183.59,0,Dormant
500097,100064,Current,47385.57,0,Open
500098,100064,Current,16671.55,1500,Open
500099,100064,Current,2739.24,2000,Open
500100,100065,ISA,19123.18,0,Open
500101,100066,Savings,72062.31,0,Open
500102,100067,Savings,58722.5,0,Open
500103,100068,Current,4028.31,1000,Open
500104,100069,Savings,8286.6,0,Open
500105,100070,Current,24017.94,0,Open
500106,100070,Current,19035.08,0,Open
500107,100071,Current,2571.96,500,Dormant
500108,100071,Current,30634.12,2000,Open
500109,100072,Savings,54237.8,0,Open
500110,100072,Current,7475.47,0,Open
500111,100073,Current,23206.95,0,Open
500112,100074,Current,40993.59,0,Open
500113,100075,Current,22052.73,500,Open
500114,100075,ISA,175005.09,0,Open
500115,100076,ISA,18855.43,0,Open
500116,100076,Current,18961.12,0,Open
500117,100076,Current,13113.24,1000,Open
500118,100077,Current,5790.15,1000,Open
500119,100077,Current,94502.15,2000,Open
500120,100078,Savings,93528.03,0,Open
500121,100079,Current,0.0,1000,Open
500122,100079,Current,8788.3,0,Open
500123,100080,ISA,22502.63,0,Open
500124,100080,Current,5315.57,1500,Open
500125,100081,Current,12744.03,0,Open
500126,100082,Current,16933.63,0,Open
500127,100083,Savings,29540.47,0,Open
500128,100084,Current,6046.05,0,Open
500129,100084,Current,4718.71,1000,Open
500130,100085,Current,26438.29,1000,Open
500131,100085,Current,12110.64,1000,Open
500132,100086,Current,22474.23,1500,Open
500133,100087,Current,810.65,0,Open
500134,100087,Current,45936.86,2000,Open
500135,100088,Savings,8953.64,0,Open
500136,100089,Current,2226.02,1000,Open
500137,100089,Current,55924.26,500,Open
500138,100090,Current,9362.89,1500,Open
500139,100090,Current,7774.32,1000,Open
500140,100090,Current,26194.53,1000,Open
500141,100091,Current,3202.12,0,Open
500142,100091,Current,55596.96,500,Open
500143,100091,Current,9902.22,0,Open
500144,100092,Current,2147.85,1000,Open
500145,100093,Current,4550.66,0,Open
500146,100094,Current,2547.72,0,Open
500147,100094,ISA,36598.3,0,Open
500148,100095,Current,31128.67,1000,Open
500149,100095,Savings,4908.07,0,Open
500150,100095,Savings,8351.83,0,Open
500151,100096,Current,49347.55,1000,Open
500152,100097,Current,8589.76,1000,Open
500153,100097,ISA,12128.85,0,Open
500154,100098,ISA,23659.05,0,Open
500155,100098,ISA,23241.55,0,Open
500156,100099,Current,23189.05,0,Dormant
500157,100099,ISA,90683.5,0,Open
500158,100099,Savings,45501.38,0,Open
500159,100100,Savings,21835.96,0,Open
500160,100101,Current,3046.46,1500,Dormant
500161,100101,Savings,18853.97,0,Open
500162,100101,Current,5634.17,1000,Open
500163,100102,Savings,49546.64,0,Open
500164,100103,Current,2528.46,0,Open
500165,100104,Savings,14413.57,0,Open
500166,100105,Current,13514.76,1000,Open
500167,100105,Current,26897.24,0,Dormant
500168,100106,Current,56591.81,0,Dormant
500169,100107,Current,705.98,1500,Open
500170,100108,Current,61891.9,2000,Open
500171,100108,Savings,88492.95,0,Open
500172,100109,Current,20489.08,2000,Open
500173,100109,Current,6990.64,2000,Open
500174,100110,Current,33145.43,1000,Open
500175,100111,Current,30161.98,0,Open
500176,100112,Savings,19282.26,0,Open
500177,100112,ISA,10169.55,0,Open
500178,100112,Savings,28641.5,0,Open
500179,100113,Savings,1330.82,0,Open
500180,100113,Savings,26295.09,0,Open
500181,100114,Current,90834.41,0,Open
500182,100114,Savings,125396.04,0,Open
500183,100115,Current,22455.77,0,Open
500184,100115,Current,29512.58,500,Open
500185,100116,Current,18947.8,0,Open
500186,100116,Current,20731.89,1000,Open
500187,100117,Savings,36978.87,0,Open
500188,100118,Current,42371.03,1500,Open
500189,100119,Current,32259.4,0,Open
500190,100120,Current,5623.52,1000,Open
500191,100120,Savings,15030.26,0,Open
500192,100121,Savings,23999.16,0,Open
500193,100122,Savings,5421.39,0,Open
500194,100122,Savings,31493.58,0,Open
500195,100123,ISA,129284.81,0,Open
500196,100123,Current,5518.08,1000,Open
500197,100123,Savings,7341.75,0,Dormant
500198,100124,Current,2233.47,0,Open
500199,100125,Current,28810.47,1000,Open
500200,100126,Current,33390.79,0,Open
500201,100126,Savings,42876.59,0,Open
500202,100126,Current,23911.92,0,Open
500203,100127,ISA,41258.2,0,Open
500204,100128,Savings,17187.44,0,Open
500205,100129,Current,33915.07,0,Open
500206,100130,Current,77976.73,2000,Open
500207,100131,ISA,20544.91,0,Open
500208,100131,Current,27041.3,0,Open
500209,100132,Current,6854.96,500,Open
500210,100133,Current,25655.57,1000,Open
500211,100134,Current,9656.02,0,Open
500212,100135,Savings,18483.28,0,Open
500213,100135,Savings,9910.35,0,Open
500214,100136,Savings,2983.34,0,Open
500215,100137,ISA,47361.79,0,Open
500216,100137,Savings,42899.17,0,Open
500217,100138,Savings,19361.33,0,Open
500218,100138,Current,14375.82,0,Open
500219,100139,Savings,67162.01,0,Open
500220,100139,Current,60038.82,0,Open
500221,100140,Savings,44368.14,0,Open
500222,100140,Savings,72411.29,0,Open
500223,100141,Current,18964.19,1500,Open
500224,100141,Current,24695.14,1500,Open
500225,100142,Savings,13517.18,0,Open
500226,100142,Savings,7589.31,0,Open
500227,100143,ISA,44804.08,0,Open
500228,100144,Savings,21014.65,0,Open
500229,100145,Current,62048.4,0,Open
500230,100146,Current,24994.44,0,Open
500231,100147,Current,19467.29,1000,Open
500232,100147,Current,23606.53,0,Open
500233,100148,Current,5802.12,0,Open
500234,100148,Current,3386.02,0,Open
500235,100149,Current,32061.54,1500,Open
500236,100149,Savings,34699.71,0,Open
500237,100150,Current,26087.26,2000,Dormant
500238,100151,ISA,81995.73,0,Open
500239,100152,Current,6357.38,0,Open
500240,100152,Current,12836.54,2000,Open
500241,100153,Savings,45909.66,0,Open
500242,100153,Savings,65515.5,0,Open
500243,100154,Savings,15228.88,0,Open
500244,100154,Current,5702.91,500,Open
500245,100155,Current,15690.49,1500,Open
500246,100155,Savings,69789.99,0,Open
500247,100156,Savings,32231.11,0,Open
500248,100157,Current,72330.86,1500,Open
500249,100158,ISA,9028.27,0,Open
500250,100159,ISA,46835.61,0,Open
500251,100160,Savings,33839.06,0,Open
500252,100161,Savings,23355.66,0,Open
500253,100162,ISA,7029.21,0,Open
500254,100162,Savings,18064.7,0,Dormant
500255,100162,Current,53771.74,500,Open
500256,100163,Current,16519.15,1000,Open
500257,100164,Current,5894.87,2000,Open
500258,100165,Savings,35667.43,0,Open
500259,100165,Current,35753.94,1500,Open
500260,100166,Savings,16204.59,0,Open
500261,100166,Savings,25753.42,0,Open
500262,100167,Current,1282.33,1000,Open
500263,100167,Current,4703.13,0,Open
500264,100168,Current,22524.65,0,Open
500265,100168,Current,12313.96,1000,Open
500266,100169,Savings,48754.42,0,Open
500267,100169,Savings,60075.09,0,Open
500268,100170,ISA,28241.96,0,Open
500269,100170,ISA,37863.25,0,Open
500270,100171,Current,19007.36,2000,Dormant
500271,100172,Current,25518.34,500,Open
500272,100173,Current,25164.5,1000,Open
500273,100173,Current,19877.07,0,Dormant
500274,100173,Savings,44133.16,0,Open
500275,100174,Current,4201.2,0,Open
500276,100175,Current,48509.11,1000,Open
500277,100176,Current,1754.82,1500,Open
500278,100177,Current,16428.09,0,Open
500279,100178,Current,19228.58,500,Open
500280,100179,Current,29292.07,1500,Open
500281,100180,Savings,35754.23,0,Open
500282,100181,Current,11562.91,1000,Open
500283,100182,Savings,12944.93,0,Open
500284,100182,ISA,23766.15,0,Open
500285,100183,ISA,4823.54,0,Open
500286,100183,Current,995.32,1000,Open
500287,100184,Current,36148.51,0,Open
500288,100185,Current,41123.33,0,Open
500289,100186,Current,45816.24,500,Open
500290,100187,Savings,48753.7,0,Open
500291,100188,Current,48392.71,0,Open
500292,100188,ISA,130348.56,0,Open
500293,100188,Current,29249.51,2000,Open
500294,100189,Current,21634.64,1000,Open
500295,100190,Current,68779.06,2000,Open
500296,100191,Current,33872.91,1000,Open
500297,100192,Current,11785.32,2000,Open
500298,100193,Savings,13830.85,0,Open
500299,100194,Current,14120.51,1000,Open
500300,100195,Savings,18430.48,0,Open
500301,100196,Current,9911.28,1500,Dormant
500302,100197,Current,34713.5,0,Dormant
500303,100197,Current,27525.01,2000,Open
500304,100197,Savings,32493.95,0,Open
500305,100198,ISA,64165.14,0,Open
500306,100199,Current,24344.52,500,Open
500307,100200,ISA,71996.57,0,Open
500308,100201,Savings,31796.56,0,Open
500309,100201,Savings,37760.02,0,Open
500310,100202,Current,19958.04,2000,Open
500311,100202,Current,14619.24,0,Open
500312,100203,Current,14733.49,500,Open
500313,100203,Current,14486.09,0,Open
500314,100204,Current,83673.47,500,Dormant
500315,100204,Current,13147.65,2000,Open
500316,100205,Savings,29129.74,0,Open
500317,100206,Savings,32068.12,0,Open
500318,100206,Current,6160.77,0,Open
500319,100207,ISA,177623.84,0,Open
500320,100208,Current,17655.09,1000,Open
500321,100209,Savings,18841.66,0,Open
500322,100210,Current,11046.64,0,Open
500323,100210,ISA,25910.3,0,Open
500324,100210,Savings,2416.74,0,Open
500325,100211,Current,1401.74,2000,Open
500326,100212,ISA,44451.41,0,Open
500327,100213,ISA,11779.6,0,Dormant
500328,100213,Savings,89663.15,0,Open
500329,100214,Savings,49065.57,0,Open
500330,100215,Current,36005.94,0,Open
500331,100215,Current,5126.5,1500,Open
500332,100216,ISA,7782.49,0,Open
500333,100216,Current,24890.67,500,Open
500334,100216,Current,11753.55,1000,Open
500335,100217,Current,3055.35,0,Open
500336,100217,Current,59532.49,0,Open
500337,100218,Current,1322.61,2000,Open
500338,100219,Current,4848.32,0,Open
