CustomerID,FullName,Gender,Age,Geography,TenureYears,EstimatedAnnualIncome,CreditScore,IsActiveMember,Exited,BranchID
100001,Customer_100001,Male,29,Germany,1,35954.55,714,1,0,3.0
100002,Customer_100002,Female,36,France,4,27387.43,750,0,0,2.0
100003,Customer_100003,Female,45,Spain,15,112419.43,721,0,0,4.0
100004,Customer_100004,Female,34,Germany,14,33487.16,653,1,0,3.0
100005,Customer_100005,Male,39,UK,14,33524.99,592,0,1,1.0
100006,Customer_100006,Male,47,Spain,0,35546.18,591,1,0,4.0
100007,Customer_100007,Female,38,Germany,10,43846.32,604,1,0,3.0
100008,Customer_100008,Female,45,Germany,10,36229.4,674,0,0,3.0
100009,Customer_100009,Female,61,UK,2,39562.06,694,0,0,1.0
100010,Customer_100010,Female,40,France,14,16000.0,549,1,1,2.0
100011,Customer_100011,Male,56,UK,6,43094.33,617,0,1,1.0
100012,Customer_100012,Male,49,Spain,15,42337.9,673,1,0,4.0
100013,Customer_100013,Male,24,France,1,67022.31,588,0,0,2.0
100014,Customer_100014,Male,29,Germany,10,75697.64,688,0,0,3.0
100015,Customer_100015,Male,32,France,2,38598.02,632,0,1,2.0
100016,Customer_100016,Female,32,UK,15,60641.09,601,0,0,1.0
100017,Customer_100017,Male,41,France,9,25583.91,659,0,1,2.0
100018,Customer_100018,Male,49,UK,1,59321.61,684,1,0,1.0
100019,Customer_100019,Female,57,Germany,3,32461.52,591,1,0,3.0
100020,Customer_100020,Male,46,France,5,24644.55,637,1,0,2.0
100021,Customer_100021,Male,37,Germany,0,38634.85,690,1,0,3.0
100022,Customer_100022,Female,18,UK,0,78876.41,598,1,0,1.0
100023,Customer_100023,Male,43,Spain,14,45564.19,531,0,1,4.0
100024,Customer_100024,Female,42,Spain,15,82359.13,540,1,0,4.0
100025,Customer_100025,Female,44,,8,29986.28,624,0,1,
100026,Customer_100026,Male,67,UK,14,67302.85,556,1,1,1.0
100027,Customer_100027,Female,57,France,10,31318.14,629,0,0,2.0
100028,Customer_100028,Female,51,UK,0,46482.11,780,0,0,1.0
100029,Customer_100029,Female,30,UK,11,46301.62,552,1,0,1.0
100030,Customer_100030,Female,36,Germany,0,56562.2,634,1,0,3.0
100031,Customer_100031,Female,41,Germany,13,47016.7,815,1,0,3.0
100032,Customer_100032,Female,33,Spain,5,30115.4,686,0,0,4.0
100033,Customer_100033,Female,48,UK,2,62415.13,627,0,0,1.0
