LoanID,CustomerID,LoanType,OriginalAmount,OutstandingBalance,InterestRatePct,LoanStatus
800001,100013,Personal,2352.21,1550.86,10.79,Current
800002,100018,Personal,29056.18,4614.82,8.97,Current
800003,100019,Personal,26723.1,15923.7,5.3,Current
800004,100019,Mortgage,326008.51,157136.88,7.18,Current
800005,100021,Mortgage,87947.15,27422.39,5.03,Current
800006,100021,Mortgage,124807.12,45257.95,5.23,Current
800007,100026,Mortgage,301541.22,255576.7,3.76,Current
800008,100030,Mortgage,229220.61,103227.17,6.23,Current
800009,100034,Personal,27590.47,25823.25,7.63,Current
800010,100037,Mortgage,260235.18,81228.95,4.92,Current
800011,100043,Personal,15523.13,6904.76,8.21,Current
800012,100046,Mortgage,347058.66,192256.21,4.02,Late
800013,100048,Mortgage,290645.37,196128.83,5.15,Current
800014,100051,Mortgage,171616.71,144353.47,3.73,Current
800015,100055,Personal,16708.62,4356.31,10.4,Current
800016,100055,Mortgage,112187.28,74023.13,6.8,Current
800017,100058,Personal,4384.53,1635.19,9.98,Current
800018,100060,Personal,21853.49,6844.03,7.41,Current
800019,100063,Personal,26197.77,7020.02,5.08,Current
800020,100067,Personal,19355.31,4738.28,10.34,Current
800021,100067,Auto,44373.08,18711.18,7.32,Current
800022,100069,Auto,29082.28,21672.4,7.49,Current
800023,100072,Mortgage,164224.48,66897.16,5.32,Current
800024,100072,Auto,36118.15,13229.31,6.13,Current
800025,100077,Mortgage,237561.19,221483.63,3.75,Current
800026,100077,Personal,23828.41,10957.17,10.36,Current
800027,100082,Personal,25697.26,16605.76,11.37,Current
800028,100083,Personal,18927.28,12215.72,6.65,Current
800029,100084,Auto,16822.8,13678.14,6.99,Current
800030,100086,Personal,29238.52,8062.54,5.78,Current
800031,100096,Auto,39197.08,28270.83,8.04,Current
800032,100098,Personal,23436.13,6915.33,12.11,Current
800033,100100,Personal,5539.36,2178.84,12.23,Current
800034,100101,Auto,21700.09,4736.23,9.28,Current
800035,100101,Auto,30615.13,10927.89,8.08,Current
800036,100104,Personal,12916.15,2807.97,6.16,Current
800037,100105,Mortgage,332445.55,101394.09,5.2,Current
800038,100105,Mortgage,330897.89,58041.34,4.45,Current
800039,100107,Personal,4291.55,3389.25,11.47,Current
800040,100109,Personal,8342.39,5904.15,5.35,Current
800041,100110,Personal,12991.29,2411.03,12.42,Current
800042,100114,Auto,28192.99,7436.91,7.55,Current
800043,100116,Mortgage,128587.27,33378.73,5.89,Late
800044,100118,Personal,10060.02,4399.52,7.11,Current
800045,100122,Auto,33114.61,19426.38,8.84,Current
800046,100124,Mortgage,318004.38,253780.1,5.56,Current
800047,100124,Personal,4742.85,2094.63,9.33,Current
800048,100129,Auto,30101.58,24841.27,4.76,Current
800049,100133,Mortgage,338519.39,283715.27,4.29,Late
800050,100133,Personal,23132.99,19352.14,6.62,Current
800051,100136,Personal,4214.4,3860.88,13.29,Current
800052,100138,Mortgage,321049.4,134656.49,4.97,Current
800053,100139,Personal,16604.03,12611.04,6.73,Late
800054,100145,Auto,14989.73,8247.46,9.34,Current
800055,100147,Personal,25902.85,9958.29,6.34,Current
800056,100151,Mortgage,80668.49,33539.62,5.88,Current
800057,100152,Personal,20864.78,17178.48,5.06,Current
800058,100152,Mortgage,324556.71,247219.62,6.56,Current
800059,100154,Auto,36933.1,24881.67,6.96,Current
800060,100158,Mortgage,312668.39,160053.74,7.16,Current
800061,100160,Personal,7264.19,6993.81,8.24,Current
800062,100160,Mortgage,298817.03,239457.74,6.94,Late
800063,100161,Personal,9958.65,5469.01,9.02,Default
800064,100162,Personal,20621.3,19530.74,7.75,Current
800065,100163,Personal,27967.15,9271.49,5.12,Current
800066,100167,Personal,12044.22,6631.2,8.78,Current
800067,100169,Mortgage,292385.66,171375.97,6.72,Late
800068,100182,Personal,24788.09,18884.95,11.8,Late
800069,100184,Auto,21490.93,11958.49,5.53,Current
800070,100190,Mortgage,337499.09,284125.05,5.14,Late
800071,100191,Mortgage,100752.63,32761.56,6.72,Current
800072,100194,Personal,3534.46,1188.82,12.59,Current
800073,100195,Personal,17834.04,3354.97,11.51,Current
800074,100198,Mortgage,100970.09,79639.28,4.83,Late
800075,100199,Auto,22948.88,13901.88,8.02,Late
800076,100203,Personal,19556.67,16558.68,9.81,Current
800077,100206,Personal,4819.71,4611.08,12.37,Current
800078,100207,Personal,26605.84,23431.92,8.98,Current
800079,100207,Auto,32932.02,23570.22,4.3,Current
800080,100208,Auto,43941.17,10587.64,9.84,Current
800081,100208,Mortgage,316777.93,303194.44,3.67,Current
800082,100210,Personal,26006.85,24207.13,11.85,Current
800083,100213,Mortgage,259574.82,207301.64,4.39,Current
800084,100216,Auto,34951.59,18831.26,5.88,Current
800085,100216,Mortgage,267131.37,100601.7,4.59,Current
800086,100217,Mortgage,304560.41,260651.73,4.54,Current
800087,100220,Personal,27281.62,18252.14,7.7,Current
800088,100222,Personal,11167.44,4602.6,5.08,Current
800089,100227,Personal,25442.43,5118.81,8.65,Default
800090,100235,Personal,17588.13,7729.33,6.94,Current
800091,100238,Personal,18969.03,4372.07,8.3,Current
800092,100239,Mortgage,314975.8,51952.84,5.75,Current
800093,100239,Personal,22184.93,9850.53,12.31,Current
800094,100240,Personal,21753.45,6083.51,11.36,Current
