AccountID,CustomerID,Month,TransactionCount,InflowAmount,OutflowAmount,FeeRevenue,DigitalTransactionShare
500001,100001,2025-01,6,688.13,732.0,2.5,0.743
500001,100001,2025-02,10,981.62,0.0,0.0,0.679
500001,100001,2025-03,5,1318.72,979.73,0.0,0.775
500001,100001,2025-04,7,1421.32,105.27,0.0,0.851
500001,100001,2025-05,4,1483.41,1261.55,0.0,0.851
500001,100001,2025-06,2,1616.29,0.0,0.0,0.804
500001,100001,2025-07,4,1399.53,1224.75,3.09,0.924
500001,100001,2025-08,5,578.24,87.68,0.0,0.637
500001,100001,2025-09,7,621.95,740.8,4.6,0.611
500001,100001,2025-10,3,1458.0,898.18,7.37,0.818
500001,100001,2025-11,6,357.16,0.0,3.01,0.696
500001,100001,2025-12,5,1000.99,2222.28,0.69,0.765
500002,100002,2025-01,22,2556.67,1233.35,4.34,0.516
500002,100002,2025-02,23,1843.99,939.66,6.96,0.713
500002,100002,2025-03,12,2644.68,1606.24,3.95,0.765
500002,100002,2025-04,24,1503.99,2839.64,5.14,0.784
500002,100002,2025-05,19,2402.17,2014.57,5.39,0.804
500002,100002,2025-06,16,2710.36,2208.97,10.25,0.933
500002,100002,2025-07,13,2478.28,1583.08,8.2,0.919
500002,100002,2025-08,23,2144.98,1692.74,4.36,0.61
500002,100002,2025-09,22,1974.87,1905.69,15.01,0.721
500002,100002,2025-10,16,3442.14,1499.95,8.77,0.711
500002,100002,2025-11,19,3040.29,1778.32,4.9,0.658
500002,100002,2025-12,16,2156.15,1334.28,4.53,0.643
500003,100003,2025-01,35,11633.55,8166.91,11.26,0.735
500003,100003,2025-02,18,9637.92,8180.72,2.66,0.601
500003,100003,2025-03,19,3735.26,7384.26,4.8,0.555
500003,100003,2025-04,22,9110.78,6257.84,7.69,0.919
500003,100003,2025-05,8,10459.5,5269.39,0.0,0.623
500003,100003,2025-06,20,9324.37,3540.71,7.47,0.936
500003,100003,2025-07,26,8881.0,7900.81,4.02,0.674
500003,100003,2025-08,17,11943.13,4221.42,4.93,0.71
500003,100003,2025-09,12,8499.99,9027.84,12.94,0.697
500003,100003,2025-10,16,8804.43,8510.56,0.0,0.769
500003,100003,2025-11,13,8154.03,9470.93,0.0,0.723
500003,100003,2025-12,11,15738.92,5724.91,3.51,0.548
500004,100004,2025-01,20,2278.12,3256.07,9.62,0.578
500004,100004,2025-02,27,1932.97,1847.58,0.0,0.861
500004,100004,2025-03,21,2888.88,2040.52,2.99,0.983
500004,100004,2025-04,20,3386.0,2647.78,1.05,0.721
500004,100004,2025-05,28,3009.8,2563.25,1.0,0.609
500004,100004,2025-06,17,2854.83,1945.65,8.88,0.739
500004,100004,2025-07,22,2723.41,1715.23,4.38,0.887
500004,100004,2025-08,16,2804.87,3331.89,3.36,0.679
500004,100004,2025-09,19,3008.1,1866.47,10.8,0.608
500004,100004,2025-10,22,1784.86,1735.39,13.34,0.7
500004,100004,2025-11,16,3653.61,1381.2,0.0,0.557
500004,100004,2025-12,16,2155.53,1715.59,5.94,0.625
500005,100005,2025-01,18,1913.17,2748.79,0.0,0.672
500005,100005,2025-02,23,2960.28,2862.84,0.37,0.957
500005,100005,2025-03,16,2206.18,2524.54,10.79,0.804
500005,100005,2025-04,28,2983.28,2169.42,3.75,0.906
500005,100005,2025-05,11,3102.75,1329.4,0.0,0.586
500005,100005,2025-06,18,3108.89,2281.45,9.46,0.802
500005,100005,2025-07,20,2191.73,2543.77,3.03,0.919
500005,100005,2025-08,16,2524.14,4300.28,0.0,0.612
500005,100005,2025-09,15,2057.7,2224.09,6.91,0.481
500005,100005,2025-10,31,1976.24,2902.91,1.94,0.515
500005,100005,2025-11,13,2959.74,1712.6,3.89,0.622
500005,100005,2025-12,12,2776.13,2288.71,2.95,0.82
500006,100006,2025-01,20,3681.01,3189.27,8.05,0.697
500006,100006,2025-02,19,2709.64,1502.99,3.62,0.591
500006,100006,2025-03,17,3009.04,2733.29,2.58,0.34
500006,100006,2025-04,22,3286.66,2173.48,7.96,0.649
500006,100006,2025-05,21,2509.1,3098.01,0.0,0.635
500006,100006,2025-06,13,2798.42,2616.23,5.56,0.497
500006,100006,2025-07,25,3337.06,2386.55,2.79,0.52
500006,100006,2025-08,14,3693.27,1726.24,5.49,0.616
500006,100006,2025-09,20,3631.37,1936.56,3.99,0.666
500006,100006,2025-10,15,3201.9,1048.98,0.0,0.99
500006,100006,2025-11,14,1917.51,3586.69,6.38,0.738
500006,100006,2025-12,9,3379.92,3288.73,5.79,0.831
500007,100007,2025-01,6,1408.58,1146.95,0.0,0.659
500007,100007,2025-02,10,1685.38,622.94,3.05,0.852
500007,100007,2025-03,10,1795.81,17.68,0.0,0.528
500007,100007,2025-04,9,929.03,0.0,0.03,0.725
500007,100007,2025-05,5,1940.48,133.96,8.21,0.788
500007,100007,2025-06,4,550.1,447.46,3.9,0.766
500007,100007,2025-07,5,2449.94,379.73,0.0,0.602
500007,100007,2025-08,7,1492.69,1202.4,0.0,0.69
500007,100007,2025-09,8,795.73,1345.62,2.22,0.894
500007,100007,2025-10,9,1131.79,1504.93,4.95,0.561
500007,100007,2025-11,5,797.58,55.23,0.0,0.675
500007,100007,2025-12,8,2399.0,1146.97,3.81,0.607
500008,100008,2025-01,6,346.59,393.76,5.9,0.444
500008,100008,2025-02,5,1649.06,1348.8,5.6,0.806
500008,100008,2025-03,4,653.46,0.0,2.65,0.936
500008,100008,2025-04,7,1221.0,1955.75,0.0,0.706
500008,100008,2025-05,5,379.17,0.0,1.78,0.687
500008,100008,2025-06,11,0.0,1449.14,0.9,0.661
500008,100008,2025-07,8,1762.87,845.47,0.0,0.604
500008,100008,2025-08,9,0.0,135.28,2.14,0.901
500008,100008,2025-09,6,1198.63,609.29,2.71,0.721
500008,100008,2025-10,5,1796.37,74.99,0.0,0.466
500008,100008,2025-11,10,2072.88,157.35,0.0,0.701
500008,100008,2025-12,7,439.31,687.98,2.5,0.792
500009,100009,2025-01,10,2052.58,0.0,4.24,0.704
500009,100009,2025-02,2,0.0,328.14,0.0,0.523
500009,100009,2025-03,4,640.62,141.8,2.43,0.756
500009,100009,2025-04,6,0.0,0.0,0.85,0.405
500009,100009,2025-05,6,71.41,179.51,5.47,0.553
500009,100009,2025-06,5,0.0,1023.92,0.0,0.361
500009,100009,2025-07,5,1203.94,843.23,6.62,0.122
500009,100009,2025-08,13,721.07,703.08,3.08,0.6
500009,100009,2025-09,5,0.0,219.37,0.0,0.403
500009,100009,2025-10,8,2738.15,789.05,2.57,0.47
500009,100009,2025-11,3,2226.04,1457.53,1.63,0.566
500009,100009,2025-12,6,1117.08,1144.48,2.65,0.368
500010,100009,2025-01,5,2145.48,865.06,0.33,0.462
500010,100009,2025-02,8,971.59,650.57,8.29,0.507
500010,100009,2025-03,5,1005.33,556.74,4.01,0.66
500010,100009,2025-04,5,1859.65,142.74,3.31,0.583
500010,100009,2025-05,6,699.94,217.1,3.83,0.55
500010,100009,2025-06,5,2733.84,1280.75,0.39,0.487
500010,100009,2025-07,6,768.18,484.02,0.0,0.597
500010,100009,2025-08,5,292.08,1607.61,0.0,0.713
500010,100009,2025-09,7,810.54,0.0,0.0,0.663
500010,100009,2025-10,4,315.92,1354.93,6.29,0.421
500010,100009,2025-11,7,0.0,750.91,5.36,0.488
500010,100009,2025-12,6,1025.64,0.0,0.0,0.463
500011,100009,2025-01,18,3836.65,2614.41,1.04,0.451
500011,100009,2025-02,17,4469.56,3992.25,2.37,0.673
500011,100009,2025-03,11,3979.14,1170.06,6.61,0.422
500011,100009,2025-04,18,4045.18,2207.66,0.0,0.429
500011,100009,2025-05,13,4282.48,3075.92,7.34,0.661
500011,100009,2025-06,12,3532.98,2365.99,6.24,0.723
500011,100009,2025-07,17,3726.9,2321.39,6.84,0.377
500011,100009,2025-08,16,3126.01,2492.45,0.0,0.755
500011,100009,2025-09,22,4155.85,3401.32,5.19,0.371
500011,100009,2025-10,13,2284.96,2495.76,0.0,0.505
500011,100009,2025-11,15,3074.18,2821.32,9.05,0.708
500011,100009,2025-12,17,3589.58,4008.92,7.01,0.589
500012,100010,2025-01,26,1048.88,1228.02,5.68,0.687
500012,100010,2025-02,17,1153.11,835.58,1.9,0.697
500012,100010,2025-03,27,1483.89,860.32,0.0,0.632
500012,100010,2025-04,16,1350.34,1055.22,4.0,0.429
500012,100010,2025-05,17,1255.01,1827.99,9.24,0.502
500012,100010,2025-06,15,1189.49,1679.9,8.83,0.492
500012,100010,2025-07,26,1245.22,1185.21,1.9,0.665
500012,100010,2025-08,19,1567.97,1180.38,2.19,0.89
500012,100010,2025-09,23,1247.31,1610.34,11.43,0.493
500012,100010,2025-10,21,1552.21,956.37,3.62,0.977
500012,100010,2025-11,13,2110.93,797.74,4.64,0.748
500012,100010,2025-12,18,1667.96,872.98,1.92,0.666
500013,100010,2025-01,17,1654.57,1436.19,3.96,0.63
500013,100010,2025-02,15,1323.88,815.8,13.51,0.739
500013,100010,2025-03,14,922.65,884.61,6.7,0.74
500013,100010,2025-04,10,1606.04,933.95,0.32,0.462
500013,100010,2025-05,19,1656.37,1572.75,4.54,0.736
500013,100010,2025-06,24,1047.6,1106.03,10.09,0.721
500013,100010,2025-07,14,1373.3,908.8,5.46,0.689
500013,100010,2025-08,14,1034.94,931.63,8.05,0.915
500013,100010,2025-09,12,1073.42,1289.51,16.2,0.482
500013,100010,2025-10,22,1482.41,911.77,0.0,0.607
